Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
12/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),CABLING4LESS,-31.68,Building Materials,Electrical parts & equipment
20/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TVLICENSING.CO.UK,145.50,Professional Services,Consultants & public relation services
21/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),Amazon  Mktplce EU-UK,26.00,Books and Periodicals,Book stores
21/03/2014,DCC BUCKLAND BREWER SCH (00447141),Amazon  Mktplce EU-UK,16.27,Books and Periodicals,Book stores
21/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,10.97,Books and Periodicals,Book stores
21/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,24.59,Books and Periodicals,Book stores
21/03/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),SPORTRELIEF MILE,15.00,Clubs/Associations/Organisations,Charitable organisations
21/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,5.03,Mail Order / Direct Selling,Direct sales companies
21/03/2014,DCC COURT OF PROTECT-C 0509893 (00509893),J HOLT & SON,309.00,General Retail and Wholesale,Furniture & home furnishing
21/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),M&S E COMMERCE,70.00,General Retail and Wholesale,Grocery stores
21/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,1.78,General Retail and Wholesale,Grocery stores
21/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,50.00,General Retail and Wholesale,Grocery stores
21/03/2014,DCC CDPLS - C (00451587),WWW.CGPBOOKS.CO.UK,4.00,General Retail and Wholesale,Miscellaneous retail
21/03/2014,DCC SPRINGFIELD CTR-C-0517180 (00517180),INKJETS & TONERS,9.36,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
21/03/2014,DCC CHARLTON LODGE C0554043 (00554043),UK POINT OF SALE GROUP,54.60,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
22/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,-12.80,Books and Periodicals,Book stores
22/03/2014,DCC CHARLTON LODGE C0554043 (00554043),ARGOS DIRECT,128.93,Mail Order / Direct Selling,Catalogue sales
22/03/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,14.89,Mail Order / Direct Selling,Direct sales companies
22/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,94.31,Mail Order / Direct Selling,Direct sales companies
22/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),HEATHCOAT FABRICS LTD,10.57,General Retail and Wholesale,Drapery & upholstery shops
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,29.94,General Retail and Wholesale,Grocery stores
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,23.17,General Retail and Wholesale,Grocery stores
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,3.36,General Retail and Wholesale,Grocery stores
23/03/2014,DCC WHITCHURCH - C 0559309 (00559309),TESCO STORE 3031,75.55,General Retail and Wholesale,Grocery stores
23/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5663,23.78,General Retail and Wholesale,Grocery stores
23/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,24.10,General Retail and Wholesale,Grocery stores
23/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,22.09,General Retail and Wholesale,Grocery stores
24/03/2014,D C C - BIDEFORD COLLEGE (00247481),THE ULTIMATE ADVENTURE,50.00,Leisure Activities,Amusement parks & circuses
