Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
24/01/2021,BOW PRIMARY SCH-CP0728252GBP,HPI INSTANT INK UK,1.99,0.00,General Retail and Wholesale,Electronics shops
30/01/2021,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk MV9S299D4,21.00,0.00,Mail Order / Direct Selling,Direct sales companies
09/02/2021,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,11.99,0.00,General Retail and Wholesale,Miscellaneous retail
09/02/2021,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,51.92,0.00,General Retail and Wholesale,Miscellaneous retail
10/02/2021,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,28.99,0.00,General Retail and Wholesale,Miscellaneous retail
10/02/2021,BOW PRIMARY SCH-CP0728252GBP,HPI INSTANT INK UK,9.99,0.00,General Retail and Wholesale,Electronics shops
21/02/2021,BOW PRIMARY SCH-CP0728252GBP,HPI INSTANT INK UK,9.99,0.00,General Retail and Wholesale,Electronics shops
01/02/2021,CASTLE PRIMARY-CP0728262GBP,ARGOS LTD,362.95,0.00,General Retail and Wholesale,Discount stores
01/02/2021,CASTLE PRIMARY-CP0728262GBP,EE LIMITED,16.78,0.00,Telecommunication Services,Phone services
04/02/2021,CASTLE PRIMARY-CP0728262GBP,TVLICENSING.CO.UK,157.50,0.00,Professional Services,Consultants & public relation services
09/02/2021,CASTLE PRIMARY-CP0728262GBP,AMAZON.CO.UK MF7HI80M4 AM,18.44,0.00,General Retail and Wholesale,Miscellaneous retail
09/02/2021,CASTLE PRIMARY-CP0728262GBP,AMZNMKTPLACE AMAZON.CO.UK,25.39,0.00,General Retail and Wholesale,Miscellaneous retail
22/02/2021,CASTLE PRIMARY-CP0728262GBP,HOMEBASE LTD 226,57.48,0.00,General Retail and Wholesale,Home supply warehouse stores
25/01/2021,CHUDLEIGH-CP0685924GBP,WWW.PROVAC.CO.UK,147.30,0.00,Cleaning Services and Supplies,Misc cleaning & polishing preparations
25/01/2021,CHUDLEIGH-CP0685924GBP,HTTPS://VERTELLA.CO.UK/,148.50,0.00,General Retail and Wholesale,Misc. general merchandise
26/01/2021,CHUDLEIGH-CP0685924GBP,WWW.ICO.ORG.UK,60.00,0.00,Statutory Bodies,Government services
27/01/2021,CHUDLEIGH-CP0685924GBP,AMZNMktplace,194.93,0.00,General Retail and Wholesale,Miscellaneous retail
31/01/2021,CHUDLEIGH-CP0685924GBP,AMZNMktplace,59.49,0.00,General Retail and Wholesale,Miscellaneous retail
01/02/2021,CHUDLEIGH-CP0685924GBP,Amazon.co.uk MV0P76R64,12.60,0.00,Mail Order / Direct Selling,Direct sales companies
03/02/2021,CHUDLEIGH-CP0685924GBP,SERENATAFLOWERS,34.98,0.00,Estate and Garden Services,Florist supplies & nursery stock
03/02/2021,CHUDLEIGH-CP0685924GBP,AMZ Benfei DirectStore,-59.49,0.00,General Retail and Wholesale,Miscellaneous retail
04/02/2021,CHUDLEIGH-CP0685924GBP,AMZNMktplace,146.10,0.00,General Retail and Wholesale,Miscellaneous retail
05/02/2021,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,96.61,0.00,General Retail and Wholesale,Grocery stores
05/02/2021,CHUDLEIGH-CP0685924GBP,ASDA GROCERIES ONLINE,-0.79,0.00,General Retail and Wholesale,Grocery stores
10/02/2021,CHUDLEIGH-CP0685924GBP,AMZ stamps4ucouk,41.25,0.00,Miscellaneous Industrial/Commercial Supplies,Hardware Equipment & Suppliers
12/02/2021,CHUDLEIGH-CP0685924GBP,SERENATAFLOWERS,32.98,0.00,Estate and Garden Services,Florist supplies & nursery stock
12/02/2021,CHUDLEIGH-CP0685924GBP,WWW.TOENGES.DE,30.38,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies
22/02/2021,CHUDLEIGH-CP0685924GBP,WWW.TEIGNBRIDGE.GOV.UK,23.00,0.00,Statutory Bodies,Government services
22/01/2021,CONNECT FEDERATIO-CP0681219GBP,ROYAL MAIL ONLINE SHOP,57.00,0.00,Mail and Courier Services,Postal services
26/01/2021,CONNECT FEDERATIO-CP0681219GBP,TESCO STORE 2487,41.40,0.00,General Retail and Wholesale,Grocery stores
27/01/2021,CONNECT FEDERATIO-CP0681219GBP,O2 UK PAY & GO,20.00,0.00,Telecommunication Services,Phone services
28/01/2021,CONNECT FEDERATIO-CP0681219GBP,TVLICENSING.CO.UK,157.50,0.00,Professional Services,Consultants & public relation services
01/02/2021,CONNECT FEDERATIO-CP0681219GBP,AMZ Connevans Ltd,267.88,0.00,General Retail and Wholesale,Electronics shops
01/02/2021,CONNECT FEDERATIO-CP0681219GBP,ASDA GROCERIES ONLINE,80.52,0.00,General Retail and Wholesale,Grocery stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,61.74,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,B & Q 1049,0.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,CONNECT FEDERATIO-CP0681219GBP,SRTRC,20.00,0.00,Leisure Activities,"Civic, social & fraternal associations"
08/02/2021,CONNECT FEDERATIO-CP0681219GBP,TESCO STORE 2487,40.60,0.00,General Retail and Wholesale,Grocery stores
22/02/2021,CONNECT FEDERATIO-CP0681219GBP,TESCO STORE 2487,35.19,0.00,General Retail and Wholesale,Grocery stores
29/01/2021,CULLOMPTON COM CO-CP0727728GBP,TESCO SUBSCRIPTION,3.49,0.00,Mail Order / Direct Selling,Continuous subscriptions
02/02/2021,CULLOMPTON COM CO-CP0727728GBP,One.com,62.24,0.00,Computer Equipment & Services,Computer network information services
04/02/2021,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  CAKESTUFFLT,16.90,0.00,General Retail and Wholesale,Misc. home furnishing
15/02/2021,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  BLINDSPARES,62.50,0.00,General Retail and Wholesale,Drapery & upholstery shops
26/01/2021,D C C WESTCROFT JUNIOR SCHOOL,DNH GODADDY.COM EUROPE,22.97,0.00,Computer Equipment & Services,Computer network information services
28/01/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,27.79,0.00,General Retail and Wholesale,Miscellaneous retail
28/01/2021,D C C WESTCROFT JUNIOR SCHOOL,ASDA GEORGE COM LEEDS,46.95,0.00,General Retail and Wholesale,Grocery stores
28/01/2021,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk MV5J636L4,17.58,0.00,Mail Order / Direct Selling,Direct sales companies
31/01/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,19.98,0.00,General Retail and Wholesale,Miscellaneous retail
01/02/2021,D C C WESTCROFT JUNIOR SCHOOL,WorldOfBooks com,226.15,0.00,Books and Periodicals,"Books, periodicals & newspapers"
01/02/2021,D C C WESTCROFT JUNIOR SCHOOL,BLACKWELL UK LTD,58.60,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
02/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MV4AV7YV4 AM,45.85,0.00,General Retail and Wholesale,Miscellaneous retail
02/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MV88I1W84 AM,41.58,0.00,General Retail and Wholesale,Miscellaneous retail
02/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MV8UO8Y14 AM,4.99,0.00,General Retail and Wholesale,Miscellaneous retail
02/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMKTPLACE AMAZON.CO.UK,25.90,0.00,General Retail and Wholesale,Miscellaneous retail
02/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MF8L41CK4 AM,13.24,0.00,General Retail and Wholesale,Miscellaneous retail
03/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MF0HA4OR4 AM,9.98,0.00,General Retail and Wholesale,Miscellaneous retail
03/02/2021,D C C WESTCROFT JUNIOR SCHOOL,HOMEBASE,38.00,0.00,General Retail and Wholesale,Home supply warehouse stores
03/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,10.81,0.00,General Retail and Wholesale,Miscellaneous retail
03/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,67.15,0.00,General Retail and Wholesale,Miscellaneous retail
04/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MF1KQ3424 AM,34.93,0.00,General Retail and Wholesale,Miscellaneous retail
04/02/2021,D C C WESTCROFT JUNIOR SCHOOL,BLACKWELL UK LTD,10.58,0.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
04/02/2021,D C C WESTCROFT JUNIOR SCHOOL,PAYPAL  EYFOUND,25.00,0.00,Training and Educational,Schools
05/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MF65H6Z04 AM,9.00,0.00,General Retail and Wholesale,Miscellaneous retail
07/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK MF52X6JO4 AM,18.00,0.00,General Retail and Wholesale,Miscellaneous retail
09/02/2021,D C C WESTCROFT JUNIOR SCHOOL,HIGHSPEEDTRAINING.CO.U,120.00,0.00,Training and Educational,Business/secretarial school
10/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,95.25,0.00,General Retail and Wholesale,Miscellaneous retail
10/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,38.36,0.00,General Retail and Wholesale,Miscellaneous retail
10/02/2021,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,52.16,0.00,General Retail and Wholesale,Miscellaneous retail
